Suburbs,Sentiment
MORNINGTON,"{'pos': 23, 'neg': 7}"
MELBOURNE,"{'pos': 2331, 'neg': 695}"
SOUTH YARRA,"{'pos': 237, 'neg': 84}"
BALWYN NORTH,"{'pos': 47, 'neg': 17}"
SOUTHBANK,"{'neg': 153, 'pos': 499}"
ASHWOOD,"{'pos': 102, 'neg': 12}"
BELGRAVE SOUTH,"{'neg': 3, 'pos': 5}"
WEST MELBOURNE,"{'pos': 62, 'neg': 18}"
DANDENONG NORTH,"{'pos': 136, 'neg': 85}"
GREENSBOROUGH,"{'pos': 29, 'neg': 20}"
KENSINGTON,"{'neg': 738, 'pos': 66}"
BEAUMARIS,"{'neg': 244, 'pos': 14}"
NEWPORT,"{'pos': 25, 'neg': 3}"
WERRIBEE,"{'pos': 127, 'neg': 75}"
RICHMOND,"{'pos': 188, 'neg': 88}"
PEARCEDALE,"{'pos': 28, 'neg': 21}"
ST KILDA,"{'neg': 220, 'pos': 441}"
ALPHINGTON,"{'pos': 21, 'neg': 6}"
DIAMOND CREEK,"{'pos': 19, 'neg': 6}"
DIXONS CREEK,{'pos': 1}
WILLIAMSTOWN,"{'pos': 59, 'neg': 15}"
MITCHAM,"{'pos': 60, 'neg': 36}"
CLAYTON SOUTH,"{'pos': 287, 'neg': 125}"
NIDDRIE,"{'pos': 38, 'neg': 20}"
CAULFIELD NORTH,"{'neg': 120, 'pos': 154}"
CLAYTON,"{'pos': 97, 'neg': 39}"
ELTHAM,"{'pos': 24, 'neg': 14}"
MOUNT DANDENONG,"{'pos': 9, 'neg': 1}"
BAXTER,{'pos': 3}
DOCKLANDS,"{'pos': 229, 'neg': 76}"
NORTHCOTE,"{'pos': 92, 'neg': 52}"
PRAHRAN,"{'pos': 165, 'neg': 43}"
BRUNSWICK EAST,"{'pos': 68, 'neg': 27}"
PARKVILLE,"{'pos': 109, 'neg': 40}"
YARRAVILLE,"{'neg': 34, 'pos': 74}"
DONCASTER,"{'neg': 22, 'pos': 40}"
PRESTON,"{'neg': 55, 'pos': 122}"
CHELTENHAM,"{'pos': 83, 'neg': 37}"
HOPPERS CROSSING,"{'neg': 74, 'pos': 158}"
FRANKSTON,"{'pos': 108, 'neg': 57}"
UPWEY,"{'pos': 7, 'neg': 2}"
BRAYBROOK,"{'neg': 14, 'pos': 29}"
