Suburbs,Sentiment,scores,log_scores
MORNINGTON,"{'pos': 23, 'neg': 7}",3.0,1.0986122886681098
MELBOURNE,"{'pos': 2331, 'neg': 695}",3.3505747126436782,1.2091318871359633
SOUTH YARRA,"{'pos': 237, 'neg': 84}",2.8,1.0296194171811581
BALWYN NORTH,"{'pos': 47, 'neg': 17}",2.6666666666666665,0.9808292530117262
SOUTHBANK,"{'neg': 153, 'pos': 499}",3.2467532467532467,1.1776554960085626
ASHWOOD,"{'pos': 102, 'neg': 12}",7.923076923076923,2.069779630768099
BELGRAVE SOUTH,"{'neg': 3, 'pos': 5}",1.5,0.4054651081081644
WEST MELBOURNE,"{'pos': 62, 'neg': 18}",3.3157894736842106,1.1986957472250923
DANDENONG NORTH,"{'pos': 136, 'neg': 85}",1.5930232558139534,0.4656336295746171
GREENSBOROUGH,"{'pos': 29, 'neg': 20}",1.4285714285714286,0.3566749439387324
KENSINGTON,"{'neg': 738, 'pos': 66}",0.09066305818673884,-2.4006053015572357
BEAUMARIS,"{'neg': 244, 'pos': 14}",0.061224489795918366,-2.793208009442517
NEWPORT,"{'pos': 25, 'neg': 3}",6.5,1.8718021769015913
WERRIBEE,"{'pos': 127, 'neg': 75}",1.6842105263157894,0.5212969236332861
RICHMOND,"{'pos': 188, 'neg': 88}",2.1235955056179776,0.7531106453275026
PEARCEDALE,"{'pos': 28, 'neg': 21}",1.3181818181818181,0.27625337662815813
ST KILDA,"{'neg': 220, 'pos': 441}",2.0,0.6931471805599453
ALPHINGTON,"{'pos': 21, 'neg': 6}",3.142857142857143,1.1451323043030026
DIAMOND CREEK,"{'pos': 19, 'neg': 6}",2.857142857142857,1.0498221244986776
DIXONS CREEK,"{'pos': 1, 'neg': 0}",2.0,0.6931471805599453
WILLIAMSTOWN,"{'pos': 59, 'neg': 15}",3.75,1.3217558399823195
MITCHAM,"{'pos': 60, 'neg': 36}",1.6486486486486487,0.49995595152908684
CLAYTON SOUTH,"{'pos': 287, 'neg': 125}",2.2857142857142856,0.8266785731844679
NIDDRIE,"{'pos': 38, 'neg': 20}",1.8571428571428572,0.6190392084062235
CAULFIELD NORTH,"{'neg': 120, 'pos': 154}",1.28099173553719,0.2476345713225055
CLAYTON,"{'pos': 97, 'neg': 39}",2.45,0.8960880245566357
ELTHAM,"{'pos': 24, 'neg': 14}",1.6666666666666667,0.5108256237659907
MOUNT DANDENONG,"{'pos': 9, 'neg': 1}",5.0,1.6094379124341003
BAXTER,"{'pos': 3, 'neg': 0}",4.0,1.3862943611198906
DOCKLANDS,"{'pos': 229, 'neg': 76}",2.987012987012987,1.0942738870695115
NORTHCOTE,"{'pos': 92, 'neg': 52}",1.7547169811320755,0.5623075796011341
PRAHRAN,"{'pos': 165, 'neg': 43}",3.772727272727273,1.3277981544382822
BRUNSWICK EAST,"{'pos': 68, 'neg': 27}",2.4642857142857144,0.9019019944220555
PARKVILLE,"{'pos': 109, 'neg': 40}",2.682926829268293,0.9869082990881085
YARRAVILLE,"{'neg': 34, 'pos': 74}",2.142857142857143,0.7621400520468967
DONCASTER,"{'neg': 22, 'pos': 40}",1.7826086956521738,0.578077850775158
PRESTON,"{'neg': 55, 'pos': 122}",2.1964285714285716,0.7868326646372683
CHELTENHAM,"{'pos': 83, 'neg': 37}",2.210526315789474,0.7932306391169279
HOPPERS CROSSING,"{'neg': 74, 'pos': 158}",2.12,0.7514160886839212
FRANKSTON,"{'pos': 108, 'neg': 57}",1.8793103448275863,0.6309048716827245
UPWEY,"{'pos': 7, 'neg': 2}",2.6666666666666665,0.9808292530117262
BRAYBROOK,"{'neg': 14, 'pos': 29}",2.0,0.6931471805599453
NORTH MELBOURNE,"{'neg': 3711, 'pos': 127}",0.034482758620689655,-3.367295829986474
ALTONA NORTH,"{'pos': 30, 'neg': 20}",1.4761904761904763,0.3894647667617233
WANTIRNA SOUTH,"{'neg': 39, 'pos': 92}",2.325,0.8437200390393197
WINDSOR,"{'pos': 90, 'neg': 28}",3.1379310344827585,1.143563676530376
CARLTON,"{'pos': 230, 'neg': 122}",1.8780487804878048,0.630233355149376
HAWTHORN,"{'pos': 195, 'neg': 95}",2.0416666666666665,0.7137664677626809
LARA,"{'pos': 53, 'neg': 27}",1.9285714285714286,0.6567795363890705
SYDENHAM,"{'neg': 31, 'pos': 26}",0.84375,-0.16989903679539747
BRIGHTON,"{'pos': 88, 'neg': 28}",3.0689655172413794,1.121340539745666
NARRE WARREN EAST,"{'pos': 2, 'neg': 0}",3.0,1.0986122886681098
PORT MELBOURNE,"{'pos': 65, 'neg': 14}",4.4,1.4816045409242156
NARRE WARREN SOUTH,"{'pos': 53, 'neg': 33}",1.588235294117647,0.46262352194811296
IVANHOE EAST,"{'pos': 6, 'neg': 1}",3.5,1.252762968495368
LAVERTON,"{'pos': 123, 'neg': 39}",3.1,1.1314021114911006
MOUNT WAVERLEY,"{'neg': 30, 'pos': 93}",3.032258064516129,1.1093075777848576
IVANHOE,"{'pos': 20, 'neg': 5}",3.5,1.252762968495368
THOMASTOWN,"{'pos': 249, 'neg': 128}",1.937984496124031,0.6616485135005743
CLIFTON HILL,"{'pos': 41, 'neg': 12}",3.230769230769231,1.1727202608218317
CARNEGIE,"{'pos': 40, 'neg': 18}",2.1578947368421053,0.7691330875378674
FITZROY,"{'pos': 182, 'neg': 81}",2.231707317073171,0.8027669055771679
MELBOURNE AIRPORT,"{'pos': 151, 'neg': 79}",1.9,0.6418538861723947
GLEN IRIS,"{'pos': 46, 'neg': 22}",2.0434782608695654,0.714653385780909
MALVERN,"{'pos': 37, 'neg': 6}",5.428571428571429,1.6916760106710724
HEATHERTON,"{'pos': 1, 'neg': 1}",1.0,0.0
FAIRFIELD,"{'pos': 13, 'neg': 5}",2.3333333333333335,0.8472978603872037
ALBERT PARK,"{'neg': 10, 'pos': 40}",3.727272727272727,1.3156767939059373
TOORAK,"{'pos': 91, 'neg': 44}",2.0444444444444443,0.7151260872787205
SUNSHINE NORTH,"{'pos': 37, 'neg': 2}",12.666666666666666,2.538973871058276
BRUNSWICK,"{'pos': 227, 'neg': 133}",1.7014925373134329,0.5315058290035294
SOUTH MELBOURNE,"{'neg': 25, 'pos': 94}",3.6538461538461537,1.2957803535790589
HUNTINGDALE,"{'pos': 2, 'neg': 0}",3.0,1.0986122886681098
